zip-code,rebate-usd,lat,lng,median-household-income,mean-household-income,population
27501,100,35.4805515,-78.6909263,48611,57017,13114
7011,90,40.8811561,-74.1416127,53314,63085,37338
44667,67,40.845526,-81.7568253,45305,54251,13811
35974,100,34.3658401,-86.0019515,30297,44929,1589
12788,65,41.7891556,-74.5814773,38736,47808,3053
49265,87,42.0289489,-84.1646163,56404,67051,4364
36104,100,32.3989318,-86.3224638,21269,32968,9468
78501,156,26.2188442,-98.2322355,34050,45892,61219
37221,90,36.0727326,-86.9624086,74128,88895,36610
17319,100,40.1695643,-76.7913558,63606,69962,9431
87417,100,36.7246163,-108.3563972,48836,54527,5746
97222,75,45.4485068,-122.6286109,48574,56529,35086
30175,95,34.5400048,-84.5012435,44594,54398,6074
10987,63,41.2050167,-74.2414092,78462,124115,3003
19149,100,40.0390934,-75.064035,40010,48924,48490
53531,88,43.0743333,-89.1134166,68911,77385,4338
54104,88,45.4001186,-88.3390725,33606,46003,1051
8318,90,39.5780239,-75.1778853,73631,81098,12227
12154,68,42.9199695,-73.6182979,70630,76250,2710
35765,100,34.6922062,-85.8383857,28339,37860,4013
4614,100,44.4080355,-68.5761391,47008,65669,2281
80424,100,39.476845,-106.0169971,62489,77800,9627
54411,88,45.0372622,-90.1122157,55221,59736,5270
92028,83,33.3826505,-117.2440957,65635,84717,46239
19713,100,39.670937,-75.7080727,54836,63853,30408
94590,50,38.1052454,-122.2483726,47050,59204,35420
83645,100,44.3721982,-116.5723905,33967,44323,636
50311,100,41.5999808,-93.6750005,43844,53268,15113
72157,100,35.2538046,-92.5594214,29861,49046,1607
46030,88,40.1692236,-86.0223611,58480,69151,3308
99161,88,46.8905208,-117.1359547,47614,56295,1400
95460,50,39.2908752,-123.6958809,53000,65205,2285
97080,75,45.484172,-122.3848749,62760,72111,33590
51462,88,42.0083382,-94.5418141,41589,52668,1013
29569,75,34.0476395,-78.8835548,32658,43032,15951
